route_id,service_id,trip_id,trip_headsign,shape_id
V4-98-102,2531,4360265,Vicent Andrés Estellés,5
V4-102-98,2531,4360500,Dr. Lluch,25
V4-98-100,2531,4360267,Fira València,25
V4-114-98,2531,4360502,Dr. Lluch,25
V4-98-114,2531,4360270,Mas del Rosari,5
V4-100-98,2531,4360504,Dr. Lluch,5
V4-98-102,2531,4360272,Vicent Andrés Estellés,5
V4-102-98,2531,4360506,Dr. Lluch,25
V4-98-100,2531,4360274,Fira València,25
V4-114-98,2531,4360508,Dr. Lluch,25
V4-98-114,2531,4360277,Mas del Rosari,5
V4-100-98,2531,4360511,Dr. Lluch,5
V4-98-102,2531,4360279,Vicent Andrés Estellés,5
V4-102-98,2531,4360513,Dr. Lluch,25
V4-98-100,2531,4360281,Fira València,25
V4-114-98,2531,4360515,Dr. Lluch,25
V4-98-114,2531,4360284,Mas del Rosari,5
V4-100-98,2531,4360518,Dr. Lluch,5
V4-98-102,2531,4360286,Vicent Andrés Estellés,5
V4-102-98,2531,4360520,Dr. Lluch,25
V4-98-100,2531,4360288,Fira València,25
V4-114-98,2531,4360522,Dr. Lluch,25
V4-98-114,2531,4360291,Mas del Rosari,5
V4-100-98,2531,4360525,Dr. Lluch,5
V4-98-102,2531,4360293,Vicent Andrés Estellés,5
V4-102-98,2531,4360527,Dr. Lluch,25
V4-98-100,2531,4360295,Fira València,25
V4-114-98,2531,4360529,Dr. Lluch,25
V4-98-114,2531,4360298,Mas del Rosari,5
V4-100-98,2531,4360532,Dr. Lluch,5
V4-98-102,2531,4360300,Vicent Andrés Estellés,5
V4-102-98,2531,4360534,Dr. Lluch,25
V4-98-100,2531,4360302,Fira València,25
V4-114-98,2531,4360536,Dr. Lluch,25
V4-98-114,2531,4360305,Mas del Rosari,5
V4-100-98,2531,4360539,Dr. Lluch,5
V4-98-102,2531,4360307,Vicent Andrés Estellés,5
V4-102-98,2531,4360541,Dr. Lluch,25
V4-98-100,2531,4360309,Fira València,25
V4-114-98,2531,4360543,Dr. Lluch,25
V4-98-114,2531,4360312,Mas del Rosari,5
V4-100-98,2531,4360546,Dr. Lluch,5
V4-98-102,2531,4360314,Vicent Andrés Estellés,5
V4-102-98,2531,4360548,Dr. Lluch,25
V4-98-100,2531,4360316,Fira València,25
V4-114-98,2531,4360550,Dr. Lluch,25
V4-98-114,2531,4360319,Mas del Rosari,5
V4-100-98,2531,4360553,Dr. Lluch,5
V4-98-102,2531,4360321,Vicent Andrés Estellés,5
V4-102-98,2531,4360555,Dr. Lluch,25
V4-98-100,2531,4360323,Fira València,25
V4-114-98,2531,4360557,Dr. Lluch,25
V4-98-114,2531,4360326,Mas del Rosari,5
V4-100-98,2531,4360560,Dr. Lluch,5
V4-98-102,2531,4360328,Vicent Andrés Estellés,5
V4-102-98,2531,4360562,Dr. Lluch,25
V4-98-100,2531,4360330,Fira València,25
V4-114-98,2531,4360564,Dr. Lluch,25
V4-98-114,2531,4360333,Mas del Rosari,5
V4-100-98,2531,4360567,Dr. Lluch,5
V4-98-102,2531,4360335,Vicent Andrés Estellés,5
V4-102-98,2531,4360569,Dr. Lluch,25
V4-98-100,2531,4360337,Fira València,25
V4-114-98,2531,4360571,Dr. Lluch,25
V4-98-114,2531,4360340,Mas del Rosari,5
V4-100-98,2531,4360574,Dr. Lluch,5
V4-98-102,2531,4360342,Vicent Andrés Estellés,5
V4-102-98,2531,4360576,Dr. Lluch,25
V4-98-100,2531,4360344,Fira València,25
V4-114-98,2531,4360578,Dr. Lluch,25
V4-98-114,2531,4360347,Mas del Rosari,5
V4-100-98,2531,4360581,Dr. Lluch,5
V4-98-102,2531,4360349,Vicent Andrés Estellés,5
V4-102-98,2531,4360583,Dr. Lluch,25
V4-98-100,2531,4360351,Fira València,25
V4-114-98,2531,4360585,Dr. Lluch,25
V4-98-114,2531,4360354,Mas del Rosari,5
V4-100-98,2531,4360588,Dr. Lluch,5
V4-98-102,2531,4360356,Vicent Andrés Estellés,5
V4-102-98,2531,4360590,Dr. Lluch,25
V4-98-100,2531,4360358,Fira València,25
V4-114-98,2531,4360592,Dr. Lluch,25
V4-98-114,2531,4360361,Mas del Rosari,5
V4-100-98,2531,4360595,Dr. Lluch,5
V4-98-102,2531,4360363,Vicent Andrés Estellés,5
V4-102-98,2531,4360597,Dr. Lluch,25
V4-98-100,2531,4360365,Fira València,25
V4-114-98,2531,4360599,Dr. Lluch,25
V4-98-114,2531,4360368,Mas del Rosari,5
V4-100-98,2531,4360602,Dr. Lluch,5
V4-98-102,2531,4360370,Vicent Andrés Estellés,5
V4-102-98,2531,4360604,Dr. Lluch,25
V4-98-100,2531,4360372,Fira València,25
V4-114-98,2531,4360606,Dr. Lluch,25
V4-98-114,2531,4360375,Mas del Rosari,5
V4-100-98,2531,4360609,Dr. Lluch,5
V4-98-102,2531,4360377,Vicent Andrés Estellés,5
V4-102-98,2531,4360611,Dr. Lluch,25
V4-98-100,2531,4360379,Fira València,25
V4-114-98,2531,4360613,Dr. Lluch,25
V4-98-114,2531,4360382,Mas del Rosari,5
V4-100-98,2531,4360616,Dr. Lluch,5
V4-98-100,2531,4360385,Fira València,25
V4-102-98,2531,4360618,Dr. Lluch,25
V4-114-98,2531,4360620,Dr. Lluch,25
V4-98-114,2531,4360388,Mas del Rosari,5
V4-100-98,2531,4360622,Dr. Lluch,5
V4-102-98,2531,4360624,Dr. Lluch,25
V4-114-98,2531,4360625,Dr. Lluch,25
V4-98-102,2531,4360393,Vicent Andrés Estellés,5
V4-100-98,2531,4360627,Dr. Lluch,5
V4-100-98,2531,4360629,Dr. Lluch,5
V4-114-98,2531,4360630,Dr. Lluch,25
V4-98-102,2531,4360395,Vicent Andrés Estellés,5
V4-114-98,2531,4360634,Dr. Lluch,25
V4-102-98,2531,4360635,Dr. Lluch,25
V4-102-98,2531,4360637,Dr. Lluch,25
V4-94-115,2531,4360167,Ll. Llarga - Terramelar,25
V4-115-29,2531,4360406,Empalme,25
V4-29-115,2531,4360170,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360411,Empalme,25
V4-29-115,2531,4360175,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360418,Empalme,25
V4-29-115,2531,4360181,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360426,Empalme,25
V4-29-115,2531,4360186,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360433,Empalme,25
V4-29-115,2531,4360191,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360440,Empalme,25
V4-29-115,2531,4360198,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360447,Empalme,25
V4-29-115,2531,4360205,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360454,Empalme,25
V4-29-115,2531,4360212,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360461,Empalme,25
V4-29-115,2531,4360219,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360468,Empalme,25
V4-29-115,2531,4360226,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360475,Empalme,25
V4-29-115,2531,4360233,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360482,Empalme,25
V4-29-115,2531,4360240,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360489,Empalme,25
V4-29-115,2531,4360247,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360496,Empalme,25
V4-29-115,2531,4360254,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360497,Empalme,25
V4-29-115,2531,4360261,Ll. Llarga - Terramelar,5
V4-115-29,2531,4360510,Empalme,25
V4-29-115,2531,4360268,Ll. Llarga - Terramelar,5
